year_film,year_ceremony,category,film,name
2005,2006,BEST PICTURE,Crash,"Paul Haggis and Cathy Schulman, Producers"
2005,2006,CINEMATOGRAPHY,Memoirs of a Geisha,Dion Beebe
2005,2006,COSTUME DESIGN,Memoirs of a Geisha,Colleen Atwood
2005,2006,DIRECTING,Brokeback Mountain,Ang Lee
2005,2006,DOCUMENTARY (Feature),March of the Penguins,Luc Jacquet and Yves Darondeau
2005,2006,DOCUMENTARY (Short Subject),A Note of Triumph: The Golden Age of Norman Corwin,Corinne Marrinan and Eric Simonson
2005,2006,FILM EDITING,Crash,Hughes Winborne
2005,2006,FOREIGN LANGUAGE FILM,Tsotsi,South Africa
2005,2006,MAKEUP,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Howard Berger and Tami Lane
2005,2006,MUSIC (Original Score),Brokeback Mountain,Gustavo Santaolalla
2005,2006,MUSIC (Original Song),Hustle & Flow,"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard"
2005,2006,SHORT FILM (Animated),The Moon and the Son: An Imagined Conversation,John Canemaker and Peggy Stern
2005,2006,SHORT FILM (Live Action),Six Shooter,Martin McDonagh
2005,2006,SOUND EDITING,King Kong (2005),Mike Hopkins and Ethan Van der Ryn
2005,2006,SOUND MIXING,King Kong (2005),"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
2005,2006,VISUAL EFFECTS,King Kong (2005),"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor"
2005,2006,WRITING (Adapted Screenplay),Brokeback Mountain,Screenplay by Larry McMurtry & Diana Ossana
